TSEAMCET-2017: LAST RANK STATEMENT (FIRST PHASE),,,,,,,,,,,,,,,,,,,,,,,,,,
inst_code,inst_name,place,Dist Name ,co_educ,college_type,year_of_estab,branch_code,branch_name,OC_            BOYS,OC_           GIRLS,BC_A_           BOYS,BC_A_        GIRLS,BC_B_        BOYS,BC_B_      GIRLS,BC_C_         BOYS,BC_C_          GIRLS,BC_D_           BOYS,BC_D_          GIRLS,BC_E_          BOYS,BC_E_             GIRLS,SC_                        BOYS,SC_                       GIRLS,ST_                 BOYS,ST_                    GIRLS,TUITION_FEE_2017,Affiliated_to
GNIT,GURUNANAK INST OF TECHNOLOGY,IBRAHIMPATAN,RR,COED,PVT,1999,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,13269,13301,46664,46664,23086,23497,13269,40646,19617,22290,61852,61852,60297,68222,38892,59522,75000,JNTUH
GNIT,GURUNANAK INST OF TECHNOLOGY,IBRAHIMPATAN,RR,COED,PVT,1999,INF,INFORMATION TECHNOLOGY,12820,12820,43167,45020,20646,20646,12820,12820,20936,23586,57368,57368,79078,91372,52421,91051,75000,JNTUH
GNIT,GURUNANAK INST OF TECHNOLOGY,IBRAHIMPATAN,RR,COED,PVT,1999,MEC,MECHANICAL ENGINEERING,15383,26749,49397,50025,21143,50193,54604,54604,21292,58648,65357,65357,68707,78722,42071,74886,75000,JNTUH
GNPT,GANAPATHI ENGINEERING COLLGE,WARANGAL,WGU,COED,PVT,2005,CSE,COMPUTER SCIENCE  AND  ENGINEERING,101878,101878,101878,101878,101878,103181,101878,101878,101878,101878,102300,102300,102353,103258,101878,101878,35000,JNTUH
GNPT,GANAPATHI ENGINEERING COLLGE,WARANGAL,WGU,COED,PVT,2005,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,44548,83707,86674,86674,95026,95026,44548,83707,88848,88848,103117,103117,50326,83707,44548,83707,35000,JNTUH
GNPT,GANAPATHI ENGINEERING COLLGE,WARANGAL,WGU,COED,PVT,2005,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,83344,83344,83344,83344,83344,83344,83344,83344,83344,83344,83344,83344,83344,83344,83344,83344,35000,JNTUH
GNTW,G NARAYNAMMA INSTITUTE OF TECHNOLOGY AND SCI,RAYADURG,HYD,GIRLS,PVT,1997,CSE,COMPUTER SCIENCE  AND  ENGINEERING,NA,3063,NA,16224,NA,5347,NA,14724,NA,5772,NA,14605,NA,25094,NA,31602,95000,JNTUH
GNTW,G NARAYNAMMA INSTITUTE OF TECHNOLOGY AND SCI,RAYADURG,HYD,GIRLS,PVT,1997,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,NA,4381,NA,16137,NA,7277,NA,17964,NA,7440,NA,15566,NA,27953,NA,27690,95000,JNTUH
GNTW,G NARAYNAMMA INSTITUTE OF TECHNOLOGY AND SCI,RAYADURG,HYD,GIRLS,PVT,1997,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,NA,6951,NA,17629,NA,10538,NA,19758,NA,11862,NA,24871,NA,35771,NA,23112,95000,JNTUH
GNTW,G NARAYNAMMA INSTITUTE OF TECHNOLOGY AND SCI,RAYADURG,HYD,GIRLS,PVT,1997,ETM,ELECTRONICS AND TELEMATICS,NA,11203,NA,48989,NA,22071,NA,11203,NA,16339,NA,77251,NA,87063,NA,97133,95000,JNTUH
GNTW,G NARAYNAMMA INSTITUTE OF TECHNOLOGY AND SCI,RAYADURG,HYD,GIRLS,PVT,1997,INF,INFORMATION TECHNOLOGY,NA,5763,NA,24663,NA,9648,NA,28112,NA,11310,NA,22275,NA,45052,NA,48476,95000,JNTUH
GRRR,GOKARAJU RANGARAJU INSTITUTE OF ENGG AND TECH,MIYAPUR,MDL,COED,PVT,1997,CIV,CIVIL ENGINEERING,8456,10461,30064,39510,15115,18351,8456,54213,14055,16711,31752,46531,35150,35937,24229,29563,95000,JNTUH
GRRR,GOKARAJU RANGARAJU INSTITUTE OF ENGG AND TECH,MIYAPUR,MDL,COED,PVT,1997,CSE,COMPUTER SCIENCE  AND  ENGINEERING,3901,4595,17413,22584,7100,8705,9562,9562,7021,9089,14555,30423,32699,32699,25948,39130,95000,JNTUH
GRRR,GOKARAJU RANGARAJU INSTITUTE OF ENGG AND TECH,MIYAPUR,MDL,COED,PVT,1997,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,5097,5475,20886,22875,9214,9568,6173,21137,8497,10613,24464,25573,33480,37541,29636,40198,95000,JNTUH
GRRR,GOKARAJU RANGARAJU INSTITUTE OF ENGG AND TECH,MIYAPUR,MDL,COED,PVT,1997,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,6969,7741,24736,24736,13068,14076,19586,19586,11235,14740,30394,43576,35277,42195,23506,29362,95000,JNTUH
GRRR,GOKARAJU RANGARAJU INSTITUTE OF ENGG AND TECH,MIYAPUR,MDL,COED,PVT,1997,INF,INFORMATION TECHNOLOGY,7373,7400,27526,27526,13335,13335,7373,22968,13534,15398,30667,44154,49971,49971,36302,51271,95000,JNTUH
GRRR,GOKARAJU RANGARAJU INSTITUTE OF ENGG AND TECH,MIYAPUR,MDL,COED,PVT,1997,MEC,MECHANICAL ENGINEERING,7115,12934,28223,60775,13951,27126,36378,36378,12198,22620,27501,29600,34851,63436,26572,43587,95000,JNTUH
GTEN,GANDHI ACADEMY OF TECHNOLOGICAL EDUCATION,KODAD,SRP,COED,PVT,2008,CIV,CIVIL ENGINEERING,81029,97576,103375,103375,101053,101053,81029,97576,90452,97576,81029,97576,91569,97576,81029,97576,55000,JNTUH
GTEN,GANDHI ACADEMY OF TECHNOLOGICAL EDUCATION,KODAD,SRP,COED,PVT,2008,CSE,COMPUTER SCIENCE  AND  ENGINEERING,101906,101906,101906,101906,101906,101906,101906,101906,101906,103380,101906,101906,101906,101906,101906,101906,55000,JNTUH
GTEN,GANDHI ACADEMY OF TECHNOLOGICAL EDUCATION,KODAD,SRP,COED,PVT,2008,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,103512,103512,69581,70141,103512,103512,103512,103512,68419,68419,103512,103512,103558,103558,103560,103560,55000,JNTUH
GTEN,GANDHI ACADEMY OF TECHNOLOGICAL EDUCATION,KODAD,SRP,COED,PVT,2008,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,81169,81169,81169,81169,81169,81169,81169,81169,81169,81169,81169,81169,97963,97963,97944,97944,55000,JNTUH
GTEN,GANDHI ACADEMY OF TECHNOLOGICAL EDUCATION,KODAD,SRP,COED,PVT,2008,MEC,MECHANICAL ENGINEERING,92917,92917,92917,92917,92917,92917,92917,92917,92917,92917,92917,92917,98120,98120,92917,92917,55000,JNTUH
GURU,GURUNANAK INSTTECH CAMPUS,IBRAHIMPATAN,RR,COED,PVT,2001,CIV,CIVIL ENGINEERING,22349,22471,52588,63882,32644,43833,22349,22471,30887,42402,57079,63698,61461,79896,34238,70425,78000,JNTUH
GURU,GURUNANAK INSTTECH CAMPUS,IBRAHIMPATAN,RR,COED,PVT,2001,CSE,COMPUTER SCIENCE  AND  ENGINEERING,13762,15282,50878,52614,23329,25229,83181,91639,24012,26124,49339,70260,73657,80354,48866,88289,78000,JNTUH
GURU,GURUNANAK INSTTECH CAMPUS,IBRAHIMPATAN,RR,COED,PVT,2001,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,16935,18672,58930,69741,27958,30415,57657,57657,26284,29273,75164,75164,81001,84201,51923,78972,78000,JNTUH
GURU,GURUNANAK INSTTECH CAMPUS,IBRAHIMPATAN,RR,COED,PVT,2001,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,19122,20381,73447,73447,33589,33589,88766,88766,33163,39261,91049,91049,73152,85045,43412,48916,78000,JNTUH
GURU,GURUNANAK INSTTECH CAMPUS,IBRAHIMPATAN,RR,COED,PVT,2001,INF,INFORMATION TECHNOLOGY,16987,18076,69641,69641,28708,28708,16987,18076,29475,32121,66537,66537,84717,93970,57520,60263,78000,JNTUH
GURU,GURUNANAK INSTTECH CAMPUS,IBRAHIMPATAN,RR,COED,PVT,2001,MEC,MECHANICAL ENGINEERING,24976,58609,86773,100141,41430,101153,64080,80320,37817,91904,86214,86214,94475,94475,50355,98322,78000,JNTUH
HITM,HYDERABAD INST OF TECHNOLOGY AND MGMT,MEDCHAL,MDL,COED,PVT,2001,CSE,COMPUTER SCIENCE  AND  ENGINEERING,25714,26027,64785,76827,35399,37343,60749,60749,43029,43486,69951,69951,87882,101467,62154,81806,65000,JNTUH
HITM,HYDERABAD INST OF TECHNOLOGY AND MGMT,MEDCHAL,MDL,COED,PVT,2001,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,30441,31063,75408,75408,45158,49492,30441,65362,46703,46703,93531,99023,94097,98159,89453,101847,65000,JNTUH
HITM,HYDERABAD INST OF TECHNOLOGY AND MGMT,MEDCHAL,MDL,COED,PVT,2001,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,42205,43043,101447,101447,54783,54783,58043,58043,58410,58410,55076,55076,100213,100213,62805,67505,65000,JNTUH
HITM,HYDERABAD INST OF TECHNOLOGY AND MGMT,MEDCHAL,MDL,COED,PVT,2001,MEC,MECHANICAL ENGINEERING,45578,79739,82816,82816,73109,79739,45578,79739,55079,79739,101280,101280,98282,98282,73740,92407,65000,JNTUH
HOLY,HOLY MARY INSTITUTE OF TECH SCIENCE,KEESARA,MDL,COED,PVT,2001,CIV,CIVIL ENGINEERING,66034,99562,99620,99620,86280,101624,66034,99562,79456,99562,97313,102794,95831,99562,88125,99562,55900,JNTUH
HOLY,HOLY MARY INSTITUTE OF TECH SCIENCE,KEESARA,MDL,COED,PVT,2001,CSE,COMPUTER SCIENCE  AND  ENGINEERING,42677,43178,84391,95841,61507,62481,42677,64412,57796,58827,92575,93887,103064,103064,103560,103560,55900,JNTUH
HOLY,HOLY MARY INSTITUTE OF TECH SCIENCE,KEESARA,MDL,COED,PVT,2001,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,51503,51503,77574,77574,78288,78288,64940,64940,67939,67939,73260,74117,79628,98119,97554,97554,55900,JNTUH
HOLY,HOLY MARY INSTITUTE OF TECH SCIENCE,KEESARA,MDL,COED,PVT,2001,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,79182,82311,79677,82311,99120,100159,80348,82311,99350,99350,95915,95915,98499,98499,80782,101215,55900,JNTUH
HOLY,HOLY MARY INSTITUTE OF TECH SCIENCE,KEESARA,MDL,COED,PVT,2001,MEC,MECHANICAL ENGINEERING,100150,101862,100150,101862,101702,101862,100150,101862,100150,101862,100150,101862,100150,101862,100150,102062,55900,JNTUH
IARE,INSTITUTE OF AERONAUTICAL ENGINEERING,DUNDIGAL,MDL,COED,PVT,2000,ANE,AERONAUTICAL ENGINEERING,15929,16491,20842,42429,24179,27789,15929,17532,25937,26762,23694,35364,49537,49537,48588,48621,67000,JNTUH
IARE,INSTITUTE OF AERONAUTICAL ENGINEERING,DUNDIGAL,MDL,COED,PVT,2000,CIV,CIVIL ENGINEERING,21888,26399,64896,78158,29398,36591,52144,52144,35125,46040,64518,68382,87499,96682,44193,51499,67000,JNTUH
IARE,INSTITUTE OF AERONAUTICAL ENGINEERING,DUNDIGAL,MDL,COED,PVT,2000,CSE,COMPUTER SCIENCE  AND  ENGINEERING,12416,12643,47220,49394,20800,20800,64816,64816,21267,22895,46529,91295,81069,81069,61803,97417,67000,JNTUH
IARE,INSTITUTE OF AERONAUTICAL ENGINEERING,DUNDIGAL,MDL,COED,PVT,2000,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,15200,15341,56723,56723,25035,26235,49863,91836,25235,28350,63782,94715,87892,90718,63762,67488,67000,JNTUH
IARE,INSTITUTE OF AERONAUTICAL ENGINEERING,DUNDIGAL,MDL,COED,PVT,2000,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,18927,19737,69824,77815,30217,30217,44317,44317,31247,35298,70370,70370,85474,94975,50848,64290,67000,JNTUH
IARE,INSTITUTE OF AERONAUTICAL ENGINEERING,DUNDIGAL,MDL,COED,PVT,2000,INF,INFORMATION TECHNOLOGY,17009,17721,70346,70346,32167,32167,17009,68069,27968,30849,63304,71829,95148,101820,100588,100588,67000,JNTUH
IARE,INSTITUTE OF AERONAUTICAL ENGINEERING,DUNDIGAL,MDL,COED,PVT,2000,MEC,MECHANICAL ENGINEERING,20354,36004,65121,70201,32638,57717,20354,36004,33795,71622,42108,48055,83818,96712,55504,80885,67000,JNTUH
IITT,INDUR INSTITUTE OF ENGINEERING AND TECHNOLOGY,SIDDIPET,SDP,COED,PVT,2001,CIV,CIVIL ENGINEERING,99176,99176,99176,99176,99176,99176,99176,99176,99176,99176,99176,99176,103278,103278,99176,99176,50000,JNTUH
IITT,INDUR INSTITUTE OF ENGINEERING AND TECHNOLOGY,SIDDIPET,SDP,COED,PVT,2001,CSE,COMPUTER SCIENCE  AND  ENGINEERING,79612,79612,96255,97281,99584,99584,79612,79612,79612,79612,84005,88633,79612,98535,79612,102673,50000,JNTUH
IITT,INDUR INSTITUTE OF ENGINEERING AND TECHNOLOGY,SIDDIPET,SDP,COED,PVT,2001,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,103036,103036,103036,103036,103036,103036,103036,103036,103036,103036,103036,103036,103036,103036,103036,103036,50000,JNTUH
IITT,INDUR INSTITUTE OF ENGINEERING AND TECHNOLOGY,SIDDIPET,SDP,COED,PVT,2001,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,63483,74742,63483,74742,89868,89868,63483,74742,97634,97634,63483,74742,85534,85534,74216,74742,50000,JNTUH
IITT,INDUR INSTITUTE OF ENGINEERING AND TECHNOLOGY,SIDDIPET,SDP,COED,PVT,2001,MEC,MECHANICAL ENGINEERING,85397,85397,90539,90539,102368,102368,85397,85397,85397,85397,96816,96816,103543,103543,98473,98473,50000,JNTUH
INDI,SRI INDU INSTITUTE OF ENGINEERING AND TECHNOLOGY,IBRAHIMPATAN,RR,COED,PVT,2007,CIV,CIVIL ENGINEERING,41208,43969,82165,82165,65013,75218,47931,47931,47175,64360,87495,90366,90517,98249,62514,86197,52000,JNTUH
INDI,SRI INDU INSTITUTE OF ENGINEERING AND TECHNOLOGY,IBRAHIMPATAN,RR,COED,PVT,2007,CSE,COMPUTER SCIENCE  AND  ENGINEERING,30316,30316,83951,101602,47802,47802,93979,93979,45362,45362,93341,93341,103451,103451,86699,98182,52000,JNTUH
INDI,SRI INDU INSTITUTE OF ENGINEERING AND TECHNOLOGY,IBRAHIMPATAN,RR,COED,PVT,2007,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,37520,37520,89191,89191,54139,55450,54787,54787,54260,54260,76220,76220,88734,88734,92319,92319,52000,JNTUH
INDI,SRI INDU INSTITUTE OF ENGINEERING AND TECHNOLOGY,IBRAHIMPATAN,RR,COED,PVT,2007,MEC,MECHANICAL ENGINEERING,51792,78422,86658,86658,77861,78422,60148,78422,54096,78422,93841,95558,95746,95746,81167,93163,52000,JNTUH
INDU,SRI INDU COLLEGE OF ENGG AND TECHNOLOGY,IBRAHIMPATAN,RR,COED,PVT,2001,CIV,CIVIL ENGINEERING,26505,29811,64156,99442,39771,55755,98991,98991,34819,37479,82529,86277,72727,89663,50163,86161,76000,JNTUH
INDU,SRI INDU COLLEGE OF ENGG AND TECHNOLOGY,IBRAHIMPATAN,RR,COED,PVT,2001,CSE,COMPUTER SCIENCE  AND  ENGINEERING,18131,18232,57901,75358,26843,29136,71787,71787,28485,28485,84558,100488,89703,92662,66033,97006,76000,JNTUH
INDU,SRI INDU COLLEGE OF ENGG AND TECHNOLOGY,IBRAHIMPATAN,RR,COED,PVT,2001,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,21536,21536,66149,81441,33657,35053,75151,83194,31120,33027,93949,93949,97342,101394,80187,87711,76000,JNTUH
INDU,SRI INDU COLLEGE OF ENGG AND TECHNOLOGY,IBRAHIMPATAN,RR,COED,PVT,2001,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,25834,25929,93625,93625,41911,41911,25834,25929,36624,47460,97458,97458,98479,99654,52045,82757,76000,JNTUH
INDU,SRI INDU COLLEGE OF ENGG AND TECHNOLOGY,IBRAHIMPATAN,RR,COED,PVT,2001,INF,INFORMATION TECHNOLOGY,21611,22670,66477,67169,32608,33032,34702,34702,33903,34717,21611,69740,95818,95818,82178,86286,76000,JNTUH
INDU,SRI INDU COLLEGE OF ENGG AND TECHNOLOGY,IBRAHIMPATAN,RR,COED,PVT,2001,MEC,MECHANICAL ENGINEERING,27472,54286,89400,89400,42320,99581,86508,86508,39550,77045,97463,97463,97486,103511,63476,70833,76000,JNTUH
JAYA,JAYAMUKHI INSTITUTE OF TECHNOLOGY AND SCIS,NARSAMPET,WGR,COED,PVT,2001,CSE,COMPUTER SCIENCE  AND  ENGINEERING,70866,70866,80543,100142,70866,84696,70866,70866,78654,78654,84026,86648,103424,103424,102724,102724,40000,JNTUH
JAYA,JAYAMUKHI INSTITUTE OF TECHNOLOGY AND SCIS,NARSAMPET,WGR,COED,PVT,2001,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,89502,100770,100156,100770,96419,100770,89502,100770,89502,100770,99465,100770,98230,103504,89502,100770,40000,JNTUH
JAYA,JAYAMUKHI INSTITUTE OF TECHNOLOGY AND SCIS,NARSAMPET,WGR,COED,PVT,2001,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,103151,103151,103151,103151,103151,103151,103151,103151,103151,103151,103151,103151,103151,103151,103151,103151,40000,JNTUH
JAYA,JAYAMUKHI INSTITUTE OF TECHNOLOGY AND SCIS,NARSAMPET,WGR,COED,PVT,2001,MEC,MECHANICAL ENGINEERING,99470,99470,102101,102101,99470,99470,99470,99470,99470,99470,100909,100909,99470,99470,99470,99470,40000,JNTUH
JBIT,J B INSTITUTE OF ENGG AND TECHNOLOGY,YENKAPALLY,RR,COED,PVT,1998,CIV,CIVIL ENGINEERING,19556,21576,61599,99660,27769,31838,19556,85505,28559,33433,51043,65147,60373,67009,40433,63997,76000,JNTUH
JBIT,J B INSTITUTE OF ENGG AND TECHNOLOGY,YENKAPALLY,RR,COED,PVT,1998,CSE,COMPUTER SCIENCE  AND  ENGINEERING,10828,11348,49163,49163,20827,20827,10828,11348,17135,20926,36360,62374,58163,61212,40029,70194,76000,JNTUH
JBIT,J B INSTITUTE OF ENGG AND TECHNOLOGY,YENKAPALLY,RR,COED,PVT,1998,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,12341,12431,46297,56884,21647,24795,40655,40655,21008,22927,64294,73742,68968,75156,45261,48077,76000,JNTUH
JBIT,J B INSTITUTE OF ENGG AND TECHNOLOGY,YENKAPALLY,RR,COED,PVT,1998,ECM,ELECTRONICS AND COMPUTER ENGINEERING,37808,42140,77986,77986,47934,68716,37808,42140,51283,54324,91687,94858,102798,102798,102779,102779,76000,JNTUH
JBIT,J B INSTITUTE OF ENGG AND TECHNOLOGY,YENKAPALLY,RR,COED,PVT,1998,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,17521,17634,54000,95033,29377,30945,78356,78356,33134,38435,78323,78323,68497,81955,34698,77089,76000,JNTUH
JBIT,J B INSTITUTE OF ENGG AND TECHNOLOGY,YENKAPALLY,RR,COED,PVT,1998,INF,INFORMATION TECHNOLOGY,14763,14763,64162,64162,26068,26068,14763,57614,23785,29339,38336,62544,79361,85371,57045,57540,76000,JNTUH
JBIT,J B INSTITUTE OF ENGG AND TECHNOLOGY,YENKAPALLY,RR,COED,PVT,1998,MEC,MECHANICAL ENGINEERING,17549,28531,55666,66687,30101,68101,94371,94371,27821,53630,65654,65654,66534,90092,47646,89208,76000,JNTUH
JIET,JAGRUTI INSTITUTE OF ENGG AND TECHNOLOGY,IBRAHIMPATAN,RR,COED,PVT,2004,CIV,CIVIL ENGINEERING,68367,83147,99732,99732,102890,102890,68367,83147,68367,83147,102698,102698,89974,89974,85512,88372,50000,JNTUH
JIET,JAGRUTI INSTITUTE OF ENGG AND TECHNOLOGY,IBRAHIMPATAN,RR,COED,PVT,2004,CSE,COMPUTER SCIENCE  AND  ENGINEERING,47449,47449,77877,77877,65500,65500,58023,58023,57522,57522,92318,92318,96197,96197,86051,88876,50000,JNTUH
JIET,JAGRUTI INSTITUTE OF ENGG AND TECHNOLOGY,IBRAHIMPATAN,RR,COED,PVT,2004,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,62525,62525,96936,96936,86935,95714,62525,62525,67651,90165,91931,102566,62525,62525,98374,98374,50000,JNTUH
JIET,JAGRUTI INSTITUTE OF ENGG AND TECHNOLOGY,IBRAHIMPATAN,RR,COED,PVT,2004,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,101270,101270,101430,101430,101270,101270,101270,101270,101270,101270,101270,101270,101270,101270,101270,101270,50000,JNTUH
JIET,JAGRUTI INSTITUTE OF ENGG AND TECHNOLOGY,IBRAHIMPATAN,RR,COED,PVT,2004,MEC,MECHANICAL ENGINEERING,92488,102697,102371,102697,99265,102697,92488,102697,92488,102697,92488,102697,92488,102697,92488,102697,50000,JNTUH
JMTK,JYOTHISHMATHI INST OF TECHNOLOGY SCIENCES,KARIMNAGAR,KRM,COED,PVT,2008,CSE,COMPUTER SCIENCE  AND  ENGINEERING,32970,32970,71460,71460,49113,49113,32970,70206,59197,62618,102495,102495,97946,97946,67465,70347,44600,JNTUH
JMTK,JYOTHISHMATHI INST OF TECHNOLOGY SCIENCES,KARIMNAGAR,KRM,COED,PVT,2008,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,60089,62298,84405,90351,85896,85896,78503,78503,81724,81724,87013,87013,98505,98505,98048,98048,44600,JNTUH
JMTK,JYOTHISHMATHI INST OF TECHNOLOGY SCIENCES,KARIMNAGAR,KRM,COED,PVT,2008,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,81945,81945,81945,83341,81945,99026,81945,81945,81945,81945,91918,94714,81945,81945,97986,97986,44600,JNTUH
JMTS,JYOTHISHMATHI INSTITUTE OF TECHNOLOGY AND SCI,KARIMNAGAR,KRM,COED,PVT,1997,CSE,COMPUTER SCIENCE  AND  ENGINEERING,43775,43775,97465,97465,61613,61613,56089,56089,55327,55327,59038,60351,102742,102742,100984,100984,52000,JNTUH
JMTS,JYOTHISHMATHI INSTITUTE OF TECHNOLOGY AND SCI,KARIMNAGAR,KRM,COED,PVT,1997,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,63740,63740,100233,100233,92841,95953,63740,76260,77636,77636,96274,98742,96477,96477,101443,101443,52000,JNTUH
JMTS,JYOTHISHMATHI INSTITUTE OF TECHNOLOGY AND SCI,KARIMNAGAR,KRM,COED,PVT,1997,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,73453,73453,81575,99666,78991,78991,73453,73453,73453,85316,87070,87070,91624,91624,73453,73453,52000,JNTUH
JMTS,JYOTHISHMATHI INSTITUTE OF TECHNOLOGY AND SCI,KARIMNAGAR,KRM,COED,PVT,1997,MEC,MECHANICAL ENGINEERING,100561,100561,100561,100561,100561,102747,100561,100561,100561,100561,100561,100561,100561,100561,100561,102016,52000,JNTUH
JNKR,JNTU COLLEGE OF ENGINEERING  KARIMNAGAR,KARIMNAGAR,JTL,COED,UNIV,2007,CSE,COMPUTER SCIENCE  AND  ENGINEERING,4814,5370,12403,12403,8810,8875,4814,45177,8748,9079,9022,11344,16097,19719,16773,18584,10000,JNTUH
JNKR,JNTU COLLEGE OF ENGINEERING  KARIMNAGAR,KARIMNAGAR,JTL,COED,UNIV,2007,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,6292,6875,12008,12008,9093,9544,6292,6875,7503,7790,14826,14826,19156,19156,15106,15106,10000,JNTUH
JNKR,JNTU COLLEGE OF ENGINEERING  KARIMNAGAR,KARIMNAGAR,JTL,COED,UNIV,2007,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,7154,7873,14512,14512,10220,10281,18525,18525,10439,10642,10018,10018,21578,21578,10101,11610,10000,JNTUH
JNKR,JNTU COLLEGE OF ENGINEERING  KARIMNAGAR,KARIMNAGAR,JTL,COED,UNIV,2007,INF,INFORMATION TECHNOLOGY,9953,9953,21221,21221,14752,14752,9953,9953,12196,12196,26030,26030,36035,36035,20790,32502,10000,JNTUH
JNKR,JNTU COLLEGE OF ENGINEERING  KARIMNAGAR,KARIMNAGAR,JTL,COED,UNIV,2007,MEC,MECHANICAL ENGINEERING,8622,10729,15815,18329,10573,13493,29071,29071,12134,13598,15922,16086,21760,40778,16251,23678,10000,JNTUH
JNPASF,JNTU SCHOOL OF PLANNING AND ARCH - SELF FINANCE,MASABTANK,HYD,COED,SF,2008,DTD,DIGITAL TECHNIQUES FOR DESIGN AND PLANNING,20247,20247,36344,36344,32168,32168,20247,20247,30790,30790,35753,35753,59871,75718,50318,50318,35000,JNFAU
JNPASF,JNTU SCHOOL OF PLANNING AND ARCH - SELF FINANCE,MASABTANK,HYD,COED,SF,2008,FSP,FACILITIES AND SERVICES PLANNING,29920,35117,34944,44223,49343,49343,29920,35117,30327,35117,29920,35117,97308,97308,89374,89374,35000,JNFAU
JNPASF,JNTU SCHOOL OF PLANNING AND ARCH - SELF FINANCE,MASABTANK,HYD,COED,SF,2008,PLG,PLANNING,36171,36171,36171,36171,36653,46749,36171,36171,36171,53834,54559,54559,63453,74804,36171,86323,35000,JNFAU
JNTH,JNTU COLLEGE OF ENGG  HYDERABAD,HYDERABAD,MDL,COED,UNIV,1965,CHE,CHEMICAL ENGINEERING,6168,6168,16213,20587,8352,11328,17524,17524,11155,11155,12471,17624,17848,18469,16684,23010,10000,JNTUH
JNTH,JNTU COLLEGE OF ENGG  HYDERABAD,HYDERABAD,MDL,COED,UNIV,1965,CIV,CIVIL ENGINEERING,2278,2362,6150,6392,2988,2988,2278,2362,2591,3439,4129,9592,8982,10176,7906,7906,10000,JNTUH
JNTH,JNTU COLLEGE OF ENGG  HYDERABAD,HYDERABAD,MDL,COED,UNIV,1965,CSE,COMPUTER SCIENCE  AND  ENGINEERING,489,489,1674,3126,704,704,489,3924,778,956,1328,1328,3454,3454,2397,5977,10000,JNTUH
JNTH,JNTU COLLEGE OF ENGG  HYDERABAD,HYDERABAD,MDL,COED,UNIV,1965,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,708,764,1752,2695,875,925,708,764,1031,1411,1936,1936,5470,6093,5755,5755,10000,JNTUH
JNTH,JNTU COLLEGE OF ENGG  HYDERABAD,HYDERABAD,MDL,COED,UNIV,1965,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,1016,1084,3838,3944,1975,1975,7208,7208,1108,1838,2424,3355,5767,8089,6548,7413,10000,JNTUH
JNTH,JNTU COLLEGE OF ENGG  HYDERABAD,HYDERABAD,MDL,COED,UNIV,1965,MEC,MECHANICAL ENGINEERING,1261,2517,4213,5680,1990,3721,1261,15854,2243,2708,2360,3989,7203,10165,7839,9047,10000,JNTUH
JNTH,JNTU COLLEGE OF ENGG  HYDERABAD,HYDERABAD,MDL,COED,UNIV,1965,MET,METALLURGICAL ENGINEERING,8529,8795,17548,17548,11463,11463,46700,46700,15464,15464,21950,28992,22356,35944,20300,23492,10000,JNTUH
JNTHMB,JNTUH-5 YEAR INTEGRATED MBA  SELF FINANCE,KUKATPALLY,MDL,COED,SF,1965,CIV,CIVIL ENGINEERING,4103,5746,4103,5746,7082,7388,7119,7119,4103,6302,4103,5746,12385,17291,13825,13825,35000,JNTUH
JNTHMB,JNTUH-5 YEAR INTEGRATED MBA  SELF FINANCE,KUKATPALLY,MDL,COED,SF,1965,CSE,COMPUTER SCIENCE  AND  ENGINEERING,1696,1766,6972,6972,1696,1766,1696,1766,2553,4598,5597,5597,9829,9829,1696,8207,35000,JNTUH
