TSEAMCET-2017: LAST RANK STATEMENT (FIRST PHASE),,,,,,,,,,,,,,,,,,,,,,,,,,
inst_code,inst_name,place,Dist Name ,co_educ,college_type,year_of_estab,branch_code,branch_name,OC_            BOYS,OC_           GIRLS,BC_A_           BOYS,BC_A_        GIRLS,BC_B_        BOYS,BC_B_      GIRLS,BC_C_         BOYS,BC_C_          GIRLS,BC_D_           BOYS,BC_D_          GIRLS,BC_E_          BOYS,BC_E_             GIRLS,SC_                        BOYS,SC_                       GIRLS,ST_                 BOYS,ST_                    GIRLS,TUITION_FEE_2017,Affiliated_to
AKIT,ABDULKALAM INST OF TECHNOLOGY AND SCI,KOTHAGUDEM,KGM,COED,PVT,2007,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,88921,88921,88921,88921,88921,89232,88921,88921,88921,88921,88921,88921,88921,98092,88921,88921,43000,JNTUH
AKIT,ABDULKALAM INST OF TECHNOLOGY AND SCI,KOTHAGUDEM,KGM,COED,PVT,2007,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,98046,98537,98046,98537,98046,98537,98046,98537,98046,98537,98046,98537,101277,101277,98046,98537,43000,JNTUH
AKIT,ABDULKALAM INST OF TECHNOLOGY AND SCI,KOTHAGUDEM,KGM,COED,PVT,2007,MEC,MECHANICAL ENGINEERING,101567,101567,101567,101567,101567,101567,101567,101567,101567,101567,101567,101567,101567,101567,101567,101567,43000,JNTUH
ANRH,ANURAG COLLEGE OF ENGINEERING,GHTKESAR,MDL,COED,PVT,2008,CSE,COMPUTER SCIENCE  AND  ENGINEERING,31244,31614,90362,90362,44957,45226,45149,45149,43330,49082,96945,102290,103413,103413,90383,97876,50000,JNTUH
ANRH,ANURAG COLLEGE OF ENGINEERING,GHTKESAR,MDL,COED,PVT,2008,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,38768,38768,63184,79026,61485,61485,38768,85152,48963,58603,62807,63229,100332,100332,98492,98492,50000,JNTUH
ANRH,ANURAG COLLEGE OF ENGINEERING,GHTKESAR,MDL,COED,PVT,2008,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,51157,52120,64795,67489,65640,67420,54725,54725,53218,65007,72188,72188,51157,71088,102927,102927,50000,JNTUH
ANRH,ANURAG COLLEGE OF ENGINEERING,GHTKESAR,MDL,COED,PVT,2008,MEC,MECHANICAL ENGINEERING,56701,99815,82242,99815,88923,99815,56701,99815,77088,99815,98804,99815,101401,101401,98418,99815,50000,JNTUH
ANRK,ANURAG ENGINEERING COLLGE,KODAD,SRP,COED,PVT,2001,CIV,CIVIL ENGINEERING,100162,102131,100553,102131,100162,102131,100162,102131,100408,102131,100162,102131,100246,102131,100162,102131,55000,JNTUH
ANRK,ANURAG ENGINEERING COLLGE,KODAD,SRP,COED,PVT,2001,CSE,COMPUTER SCIENCE  AND  ENGINEERING,74623,75518,95525,95525,102396,102396,74623,75518,88175,88175,74713,75518,103233,103233,102891,102891,55000,JNTUH
ANRK,ANURAG ENGINEERING COLLGE,KODAD,SRP,COED,PVT,2001,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,99829,99829,99829,99829,102137,102137,99829,99829,100685,100685,99829,99829,99829,99829,99829,99829,55000,JNTUH
ANRK,ANURAG ENGINEERING COLLGE,KODAD,SRP,COED,PVT,2001,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,101989,101989,101989,101989,102580,102580,101989,101989,101989,101989,101989,101989,101989,101989,101989,101989,55000,JNTUH
ANRK,ANURAG ENGINEERING COLLGE,KODAD,SRP,COED,PVT,2001,MEC,MECHANICAL ENGINEERING,88179,88179,88179,88179,89686,89686,88179,88179,90940,94120,88179,88179,89445,97594,98161,98161,55000,JNTUH
ARJN,ARJUN COLLEGE OF TECHNOLOGY AND SCIENCE,BATASINGARAM,RR,COED,PVT,2006,CIV,CIVIL ENGINEERING,99744,99744,99744,99744,99744,99744,99744,99744,99744,99744,99744,99744,99744,99744,99744,99744,47000,JNTUH
