State_Name,District_Name,Crop_Year,Season,Crop,Water level(mm),Humidity,Temperature,Area,Type_ of _Soil ,Fertilizers,Cost_ of_ Production,Production
Telangana ,ADILABAD,2005,Rabi       ,Dry chillies,500,73,26,575,Sandy soil,1,160.9,374
Telangana ,ADILABAD,2005,Rabi       ,Gram,900,73,26,9199,Sandy soil,1,182.5,148
Telangana ,ADILABAD,2005,Rabi       ,Groundnut,500,73,26,4188,Sandy loam,1,195.7,6
Telangana ,ADILABAD,2005,Rabi       ,Horse-gram,800,73,26,859,Sandy  soil,1,178.4,2
Telangana ,ADILABAD,2005,Rabi       ,Jowar,700,73,26,57107,Clay soil,1,121.8,25
Telangana ,ADILABAD,2005,Rabi       ,Linseed,750,73,26,3053,well drained soil,1,48.8,10
Telangana ,ADILABAD,2005,Rabi       ,Maize,650,73,26,6301,Clay soil,1,286,1579
Telangana ,ADILABAD,2005,Rabi       ,Moong(Green Gram),1500,73,26,3022,Sandy loam,1,167.9,17
Telangana ,ADILABAD,2005,Rabi       ,Onion,400,73,26,496,Sandy loam,1,409.1,19
Telangana ,ADILABAD,2005,Rabi       ,Other  Rabi pulses,850,73,26,874,Sandy  soil,1,239.3,3
Telangana ,ADILABAD,2005,Rabi       ,Rice,1700,73,26,9466,Clay Soil,1,213.3,100
Telangana ,ADILABAD,2005,Rabi       ,Safflower,100,73,26,493,well drained soil,1,42.1,2
Telangana ,ADILABAD,2005,Rabi       ,Sesamum,600,73,26,8314,Sandy loam,1,137.9,3
Telangana ,ADILABAD,2005,Rabi       ,Urad,120,73,26,826,Sandy loam,1,58,3
Telangana ,ADILABAD,2005,Rabi       ,Wheat,500,73,26,3920,Clay loam,1,140.1,2
Telangana ,ADILABAD,2005,Whole Year ,Cashewnut,2000,73,26,60,Sandy Soil,1,183.1,1
Telangana ,ADILABAD,2005,Whole Year ,Coriander,400,73,26,923,well drained soil,1,261.3,2
Telangana ,ADILABAD,2005,Whole Year ,Garlic,100,73,26,165,Sandy loam,1,308.2,26
Telangana ,ADILABAD,2005,Whole Year ,Potato,600,73,26,2,Sandy loam soil,1,259.1,17
Telangana ,ADILABAD,2005,Whole Year ,Sugarcane,2000,73,26,156,Sandy loam,1,144.3,263
