State_Name,District_Name,Crop_Year,Season,Crop,Humidity,Temperature,Fertilizers,Area,Production,Type_ of _Soil ,Cost_ of_ Prediction
Telangana ,ADILABAD,2005,Rabi       ,Groundnut,73,26,1,4188,6,Sandy loam,195.7
Telangana ,ADILABAD,2005,Rabi       ,Horse-gram,73,26,1,859,2,Sandy  soil,178.4
Telangana ,ADILABAD,2005,Rabi       ,Jowar,73,26,1,57107,25,Clay soil,121.8
Telangana ,ADILABAD,2005,Rabi       ,Linseed,73,26,1,3053,10,well drained soil,48.8
Telangana ,ADILABAD,2005,Rabi       ,Maize,73,26,1,6301,1579,Clay soil,286
Telangana ,ADILABAD,2005,Rabi       ,Moong(Green Gram),73,26,1,3022,17,Sandy loam,167.9
Telangana ,ADILABAD,2005,Rabi       ,Onion,73,26,1,496,19,Sandy loam,409.1
Telangana ,ADILABAD,2005,Rabi       ,Other  Rabi pulses,73,26,1,874,3,Sandy  soil,239.3
Telangana ,ADILABAD,2005,Rabi       ,Rice,73,26,1,9466,100,Clay Soil,213.3
Telangana ,ADILABAD,2005,Rabi       ,Safflower,73,26,1,493,2,well drained soil,42.1
Telangana ,ADILABAD,2005,Rabi       ,Sesamum,73,26,1,8314,3,Sandy loam,137.9
Telangana ,ADILABAD,2005,Rabi       ,Urad,73,26,1,826,3,Sandy loam,58
Telangana ,ADILABAD,2005,Rabi       ,Wheat,73,26,1,3920,2,Clay loam,140.1
Telangana ,ADILABAD,2005,Whole Year ,Cashewnut,73,26,1,60,1,Sandy Soil,183.1
Telangana ,ADILABAD,2005,Whole Year ,Coriander,73,26,1,923,2,well drained soil,261.3
Telangana ,ADILABAD,2005,Whole Year ,Garlic,73,26,1,165,26,Sandy loam,308.2
Telangana ,ADILABAD,2005,Whole Year ,Potato,73,26,1,2,17,Sandy loam soil,259.1
Telangana ,ADILABAD,2005,Whole Year ,Sugarcane,73,26,1,156,263,Sandy loam,144.3
Telangana ,ADILABAD,2005,Whole Year ,Sunflower,73,26,1,6467,23,Sandy soil,85.6
Telangana ,ADILABAD,2005,Whole Year ,Sweet potato,73,26,1,8,14,Clay Soil,88.1
Telangana ,ADILABAD,2005,Whole Year ,Tobacco,73,26,1,72,7,Sandy clay,140.9
Telangana ,ADILABAD,2005,Whole Year ,Turmeric,73,26,1,6571,13,Clay soil,200.2
Telangana ,ADILABAD,2006,Kharif     ,Arhar/Tur,73,26,0,31414,21833, clay loams,103.3
Telangana ,ADILABAD,2006,Kharif     ,Castor seed,73,26,1,285,2,well drained soil,220.9
Telangana ,ADILABAD,2006,Kharif     ,Cotton(lint),73,26,1,178770,8830,Sandy Soil,310.8
Telangana ,ADILABAD,2006,Kharif     ,Dry chillies,73,26,1,5724,402,Sandy soil,160.9
Telangana ,ADILABAD,2006,Kharif     ,Groundnut,73,26,1,44,15,Sandy loam,195.7
Telangana ,ADILABAD,2006,Kharif     ,Horse-gram,73,26,1,239,2,Sandy  soil,178.4
Telangana ,ADILABAD,2006,Kharif     ,Jowar,73,26,1,20073,39,Clay soil,121.8
Telangana ,ADILABAD,2006,Kharif     ,Maize,73,26,1,19286,1579,Clay soil,286
Telangana ,ADILABAD,2006,Kharif     ,Moong(Green Gram),73,26,1,10536,17,Sandy loam,167.9
Telangana ,ADILABAD,2006,Kharif     ,Onion,73,26,1,38,19,Sandy loam,409.1
Telangana ,ADILABAD,2006,Kharif     ,Other Kharif pulses,73,26,1,1204,14,Sandy soil,179.5
Telangana ,ADILABAD,2006,Kharif     ,Rice,73,26,1,64743,100,Clay Soil,213.3
Telangana ,ADILABAD,2006,Kharif     ,Sesamum,73,26,1,2280,4,Sandy loam,137.9
Telangana ,ADILABAD,2006,Kharif     ,Soyabean,73,26,1,81192,4,loamy soil,364.4
Telangana ,ADILABAD,2006,Kharif     ,Urad,73,26,1,17831,4,Sandy loam,58
Telangana ,ADILABAD,2006,Rabi       ,Arhar/Tur,73,26,1,2912,2024, clay loams,103.3
Telangana ,ADILABAD,2006,Rabi       ,Bajra,73,26,1,1035,1,Sandy soil,167.9
Telangana ,ADILABAD,2006,Rabi       ,Dry chillies,73,26,1,1183,404,Sandy soil,160.9
Telangana ,ADILABAD,2006,Rabi       ,Gram,73,26,1,22127,160,Sandy soil,182.5
